Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-09-19,27.690001,27.950001,25.559999,25.76,25.76,0,0
2022-09-20,25.65,27.809999,25.610001,27.16,27.16,0,1
2022-09-21,28.030001,30.18,25.549999,27.99,27.99,0,2
2022-09-22,28.16,28.379999,26.709999,27.35,27.35,0,3
2022-09-23,27.68,32.310001,27.58,29.92,29.92,0,4
2022-09-26,31.74,32.880001,29.83,32.259998,32.259998,0,5
2022-09-27,31.200001,34.139999,30.299999,32.599998,32.599998,0,6
2022-09-28,34.5,34.880001,30.030001,30.18,30.18,0,7
2022-09-29,31.67,33.459999,31.16,31.84,31.84,0,8
2022-09-30,31.610001,33.25,29.389999,31.620001,31.620001,0,9
2022-10-03,33,33.060001,29.629999,30.1,30.1,0,10
2022-10-04,29.52,29.620001,28.559999,29.07,29.07,0,11
2022-10-05,29.360001,30.110001,28.5,28.549999,28.549999,0,12
2022-10-06,28.6,30.74,28.559999,30.52,30.52,0,13
2022-10-07,30.370001,32.02,29.879999,31.360001,31.360001,0,14
2022-10-10,32.93,33.990002,32.049999,32.450001,32.450001,0,15
2022-10-11,33.560001,34.43,32.450001,33.630001,33.630001,0,16
2022-10-12,33.540001,34.529999,33.110001,33.57,33.57,0,17
2022-10-13,33.599998,33.869999,31.629999,31.940001,31.940001,0,18
2022-10-14,31.889999,32.98,31.139999,32.02,32.02,0,19
2022-10-17,32.27,32.59,30.700001,31.370001,31.370001,0,20
2022-10-18,31.1,31.93,30.42,30.5,30.5,0,21
2022-10-19,30.940001,31.9,30.76,30.76,30.76,0,22
2022-10-20,31.299999,31.32,29.76,29.98,29.98,0,23
2022-10-21,30.209999,30.440001,29.24,29.690001,29.690001,0,24
2022-10-24,30.65,30.950001,29.780001,29.85,29.85,0,25
2022-10-25,29.799999,30,28.219999,28.459999,28.459999,0,26
2022-10-26,28.440001,28.52,27.27,27.280001,27.280001,0,27
2022-10-27,27.51,27.67,26.940001,27.389999,27.389999,0,28
2022-10-28,27.43,27.59,25.75,25.75,25.75,0,29
2022-10-31,26.91,27.07,25.84,25.879999,25.879999,0,30
2022-11-01,25.959999,26.35,25.66,25.809999,25.809999,0,31
2022-11-02,26.040001,26.620001,25.389999,25.860001,25.860001,0,32
2022-11-03,25.98,26.870001,25.1,25.299999,25.299999,0,33
2022-11-04,25.629999,25.709999,24,24.549999,24.549999,0,34
2022-11-07,25.67,25.67,24.34,24.35,24.35,0,35
2022-11-08,24.709999,26.16,24.24,25.540001,25.540001,0,36
2022-11-09,25.34,26.35,25.02,26.09,26.09,0,37
2022-11-10,26.51,26.59,22.84,23.530001,23.530001,0,38
2022-11-11,23.889999,23.91,22.370001,22.52,22.52,0,39
2022-11-14,23.99,24.33,22.860001,23.73,23.73,0,40
2022-11-15,23.77,26.219999,23.18,24.540001,24.540001,0,41
2022-11-16,24.290001,24.719999,23.99,24.110001,24.110001,0,42
2022-11-17,24.049999,25.18,23.809999,23.93,23.93,0,43
2022-11-18,24.030001,24.120001,22.98,23.120001,23.120001,0,44
2022-11-21,24.049999,24.120001,22.299999,22.360001,22.360001,0,45
2022-11-22,22.59,22.709999,21.280001,21.290001,21.290001,0,46
2022-11-23,21.49,21.780001,20.32,20.35,20.35,0,47
2022-11-24,null,null,null,null,null,null,48
2022-11-25,20.610001,21.110001,20.459999,20.5,20.5,0,49
2022-11-28,22.09,22.5,21.65,22.209999,22.209999,0,50
2022-11-29,22.09,22.57,21.83,21.889999,21.889999,0,51
2022-11-30,21.700001,22.629999,20.309999,20.58,20.58,0,52
2022-12-01,20.83,21.059999,19.799999,19.84,19.84,0,53
2022-12-02,20.42,20.959999,18.950001,19.059999,19.059999,0,54
2022-12-05,20.299999,21.290001,19.780001,20.75,20.75,0,55
2022-12-06,20.690001,22.6,20.379999,22.17,22.17,0,56
2022-12-07,22.32,23.01,22.18,22.68,22.68,0,57
2022-12-08,22.809999,23.280001,22.059999,22.290001,22.290001,0,58
2022-12-09,22.549999,23.209999,22.18,22.83,22.83,0,59
2022-12-12,24.4,25.049999,24.18,25,25,0,60
2022-12-13,25.24,25.84,21.459999,22.549999,22.549999,0,61
2022-12-14,22.83,23.469999,21.07,21.139999,21.139999,0,62
2022-12-15,21.52,23.67,21.25,22.83,22.83,0,63
2022-12-16,23.26,23.83,22.09,22.620001,22.620001,0,64
2022-12-19,22.629999,22.860001,21.610001,22.42,22.42,0,65
2022-12-20,23.17,23.389999,21.35,21.48,21.48,0,66
2022-12-21,21.25,21.290001,19.940001,20.07,20.07,0,67
2022-12-22,20.08,24.299999,20.01,21.969999,21.969999,0,68
2022-12-23,22.17,22.639999,20.780001,20.870001,20.870001,0,69
2022-12-26,null,null,null,null,null,null,70
2022-12-27,21.67,22.799999,21.59,21.65,21.65,0,71
2022-12-28,21.469999,22.26,20.959999,22.139999,22.139999,0,72
2022-12-29,22.25,22.309999,21.360001,21.440001,21.440001,0,73
2022-12-30,21.83,22.4,21.59,21.67,21.67,0,74
2023-01-02,null,null,null,null,null,null,75
2023-01-03,23.09,23.76,22.73,22.9,22.9,0,76
2023-01-04,22.93,23.27,21.940001,22.01,22.01,0,77
2023-01-05,22.200001,22.92,21.969999,22.459999,22.459999,0,78
2023-01-06,22.690001,22.9,21,21.129999,21.129999,0,79
2023-01-09,21.75,21.98,21.27,21.969999,21.969999,0,80
2023-01-10,22.219999,22.459999,20.58,20.58,20.58,0,81
2023-01-11,20.799999,21.25,20.620001,21.09,21.09,0,82
2023-01-12,21.559999,21.799999,18.83,18.83,18.83,0,83
2023-01-13,19,19.41,18.01,18.35,18.35,0,84
2023-01-16,null,null,null,null,null,null,85
2023-01-17,19.889999,20.219999,19.209999,19.360001,19.360001,0,86
2023-01-18,19.280001,20.58,18.709999,20.34,20.34,0,87
2023-01-19,20.43,21.709999,20.17,20.52,20.52,0,88
2023-01-20,20.280001,20.700001,19.41,19.85,19.85,0,89
2023-01-23,20.209999,20.33,19.549999,19.809999,19.809999,0,90
2023-01-24,19.889999,20.469999,18.91,19.200001,19.200001,0,91
2023-01-25,19.559999,20.9,18.99,19.08,19.08,0,92
2023-01-26,19.049999,19.48,18.67,18.73,18.73,0,93
2023-01-27,18.9,19,17.969999,18.51,18.51,0,94
2023-01-30,19.76,20.25,19.540001,19.940001,19.940001,0,95
2023-01-31,20.120001,20.700001,19.129999,19.4,19.4,0,96
2023-02-01,19.620001,20.040001,17.700001,17.870001,17.870001,0,97
2023-02-02,17.74,19.25,17.059999,18.73,18.73,0,98
2023-02-03,18.57,19.299999,17.93,18.33,18.33,0,99
2023-02-06,19.23,19.809999,19.209999,19.43,19.43,0,100
2023-02-07,19.540001,19.99,18.43,18.66,18.66,0,101
2023-02-08,18.879999,20.120001,18.549999,19.629999,19.629999,0,102
2023-02-09,19.24,21.08,19.02,20.709999,20.709999,0,103
2023-02-10,20.74,21.940001,20.440001,20.530001,20.530001,0,104
2023-02-13,21.66,21.690001,20.33,20.34,20.34,0,105
2023-02-14,20.719999,20.75,18.48,18.91,18.91,0,106
2023-02-15,19.370001,19.41,18.110001,18.23,18.23,0,107
2023-02-16,18.26,20.27,18.23,20.17,20.17,0,108
2023-02-17,20.940001,21.299999,19.82,20.02,20.02,0,109
2023-02-20,null,null,null,null,null,null,110
2023-02-21,21.799999,23.34,21.799999,22.870001,22.870001,0,111
