Date,Open,High,Low,Close,Adj Close,Volume
2013-09-23,1.894167,1.894167,1.862917,1.870000,1.781499,72000
2013-09-24,1.900417,1.900417,1.900417,1.900417,1.810477,7200
2013-09-25,1.910000,1.910000,1.899583,1.899583,1.813181,4800
2013-09-26,1.876667,1.876667,1.861667,1.870833,1.785739,199200
2013-09-27,1.838750,1.841250,1.838750,1.841250,1.757501,21600
2013-09-30,1.784167,1.860417,1.784167,1.833333,1.749945,235200
2013-10-01,1.856250,1.879167,1.847500,1.853750,1.769433,64800
2013-10-02,1.857500,1.867500,1.853333,1.854167,1.769831,79200
2013-10-03,1.822083,1.845833,1.822083,1.842917,1.759093,36000
2013-10-04,1.822083,1.875833,1.822083,1.868333,1.783352,45600
2013-10-07,1.802917,1.879167,1.802917,1.859583,1.775000,31200
2013-10-08,1.805000,1.807917,1.801667,1.807917,1.725685,40800
2013-10-09,1.784167,1.807500,1.779167,1.795833,1.714150,48000
2013-10-10,1.853333,1.882917,1.850000,1.881250,1.795682,48000
2013-10-11,1.890417,1.890417,1.877500,1.879167,1.793694,91200
2013-10-14,1.892500,1.928333,1.890000,1.918750,1.831476,141600
2013-10-15,1.922917,1.922917,1.886250,1.886250,1.800454,24000
2013-10-16,1.888750,1.930833,1.880833,1.923333,1.835851,230400
2013-10-17,1.912500,1.962083,1.912500,1.960000,1.870850,100800
2013-10-18,1.986250,1.986250,1.935417,1.968333,1.878804,60000
2013-10-21,1.968750,1.981667,1.968750,1.974583,1.884770,36000
2013-10-22,1.982083,1.982083,1.952917,1.976250,1.886361,177600
2013-10-23,1.930000,1.930000,1.842917,1.857083,1.772614,91200
2013-10-24,1.906667,1.906667,1.875000,1.880000,1.794488,50400
2013-10-25,1.916667,1.916667,1.889167,1.892917,1.806818,160800
2013-10-28,1.916667,1.922500,1.912917,1.919167,1.831874,79200
2013-10-29,1.941250,1.983750,1.941250,1.983750,1.893520,244800
