Date,Open,High,Low,Close,Adj_Close,Volume,Day
2013-09-23,1.894167,1.894167,1.862917,1.87,1.781499,72000,0
2013-09-24,1.900417,1.900417,1.900417,1.900417,1.810477,7200,1
2013-09-25,1.91,1.91,1.899583,1.899583,1.813181,4800,2
2013-09-26,1.876667,1.876667,1.861667,1.870833,1.785739,199200,3
2013-09-27,1.83875,1.84125,1.83875,1.84125,1.757501,21600,4
2013-09-30,1.784167,1.860417,1.784167,1.833333,1.749945,235200,5
2013-10-01,1.85625,1.879167,1.8475,1.85375,1.769433,64800,6
2013-10-02,1.8575,1.8675,1.853333,1.854167,1.769831,79200,7
2013-10-03,1.822083,1.845833,1.822083,1.842917,1.759093,36000,8
2013-10-04,1.822083,1.875833,1.822083,1.868333,1.783352,45600,9
2013-10-07,1.802917,1.879167,1.802917,1.859583,1.775,31200,10
2013-10-08,1.805,1.807917,1.801667,1.807917,1.725685,40800,11
2013-10-09,1.784167,1.8075,1.779167,1.795833,1.71415,48000,12
2013-10-10,1.853333,1.882917,1.85,1.88125,1.795682,48000,13
2013-10-11,1.890417,1.890417,1.8775,1.879167,1.793694,91200,14
2013-10-14,1.8925,1.928333,1.89,1.91875,1.831476,141600,15
2013-10-15,1.922917,1.922917,1.88625,1.88625,1.800454,24000,16
2013-10-16,1.88875,1.930833,1.880833,1.923333,1.835851,230400,17
2013-10-17,1.9125,1.962083,1.9125,1.96,1.87085,100800,18
2013-10-18,1.98625,1.98625,1.935417,1.968333,1.878804,60000,19
2013-10-21,1.96875,1.981667,1.96875,1.974583,1.88477,36000,20
2013-10-22,1.982083,1.982083,1.952917,1.97625,1.886361,177600,21
2013-10-23,1.93,1.93,1.842917,1.857083,1.772614,91200,22
2013-10-24,1.906667,1.906667,1.875,1.88,1.794488,50400,23
2013-10-25,1.916667,1.916667,1.889167,1.892917,1.806818,160800,24
2013-10-28,1.916667,1.9225,1.912917,1.919167,1.831874,79200,25
2013-10-29,1.94125,1.98375,1.94125,1.98375,1.89352,244800,26
2013-10-30,1.99625,1.99625,1.953333,1.960417,1.871248,36000,27
2013-10-31,1.939583,2.011667,1.939583,1.995833,1.905053,412800,28
2013-11-01,2.005417,2.005417,1.985417,1.985417,1.895111,69600,29
2013-11-04,1.987917,1.987917,1.958333,1.96125,1.872043,158400,30
2013-11-05,1.92125,1.964167,1.92125,1.958333,1.869259,98400,31
2013-11-06,1.970417,1.982083,1.97,1.97,1.880395,74400,32
2013-11-07,1.956667,1.973333,1.9175,1.9175,1.830283,343200,33
2013-11-08,1.90875,1.96,1.90875,1.96,1.87085,60000,34
2013-11-11,1.958333,1.958333,1.958333,1.958333,1.869259,7200,35
2013-11-12,1.9375,1.994583,1.9375,1.990417,1.899883,12000,36
2013-11-13,1.9125,2.021667,1.9125,2.021667,1.929712,84000,37
2013-11-14,2.001667,2.004583,1.996667,1.998333,1.907439,84000,38
2013-11-15,1.989583,2.01875,1.983333,2.01875,1.926928,184800,39
2013-11-18,2.0175,2.020833,1.995833,1.995833,1.905053,115200,40
2013-11-19,1.984167,1.984167,1.949167,1.9625,1.873236,55200,41
2013-11-20,1.955417,1.960417,1.932083,1.932083,1.844203,504000,42
2013-11-21,1.960833,2.031667,1.960833,2.031667,1.939257,280800,43
2013-11-22,1.980417,1.99,1.959167,1.9725,1.882782,84000,44
2013-11-25,1.964583,1.970833,1.958333,1.968333,1.878804,100800,45
2013-11-26,1.96875,1.98625,1.965833,1.982917,1.892724,187200,46
2013-11-27,1.987917,2.002917,1.947083,1.999167,1.908235,504000,47
2013-11-29,2.004583,2.004583,2,2,1.90903,16800,48
2013-12-02,1.974583,2.0025,1.974583,1.99625,1.905451,60000,49
2013-12-03,2.007083,2.007083,1.987083,1.995833,1.905053,28800,50
2013-12-04,1.995417,2.007083,1.980833,1.98625,1.895906,120000,51
2013-12-05,2.006667,2.023333,2.003333,2.020833,1.928916,103200,52
2013-12-06,2.041667,2.08625,2.041667,2.072917,1.978631,300000,53
2013-12-09,2.09625,2.10125,2.085417,2.092917,1.997721,93600,54
2013-12-10,2.03125,2.1175,2.03125,2.085417,1.990563,115200,55
2013-12-11,2.0625,2.0625,2.032917,2.033333,1.940848,26400,56
2013-12-12,2.039583,2.049167,1.995417,1.998333,1.907439,115200,57
2013-12-13,2.010417,2.010417,1.984167,1.98625,1.895906,43200,58
2013-12-16,2.010417,2.059583,2.010417,2.047917,1.954768,177600,59
2013-12-17,2.050833,2.096667,2.050833,2.082083,1.98738,206400,60
2013-12-18,2.07875,2.119167,2.045833,2.117083,2.020788,79200,61
2013-12-19,2.086667,2.100833,2.086667,2.097083,2.001698,62400,62
2013-12-20,2.137917,2.14125,2.125,2.125,2.028345,21600,63
2013-12-23,2.145,2.1675,2.145,2.16,2.061753,177600,64
2013-12-24,2.089167,2.180833,2.041667,2.164583,2.06944,165600,65
2013-12-26,2.189583,2.191667,2.177083,2.18875,2.092545,158400,66
2013-12-27,2.185417,2.1875,2.17625,2.176667,2.080993,55200,67
2013-12-30,2.189167,2.209583,2.189167,2.209583,2.112463,98400,68
2013-12-31,2.2125,2.235833,2.2125,2.2225,2.124812,45600,69
2014-01-02,2.174583,2.179583,2.16,2.175833,2.080196,132000,70
2014-01-03,2.1875,2.195,2.156667,2.18125,2.085375,60000,71
